,Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres,Year
516,tt2364841,62675095.0,30000000.0,R,Twentieth Century Fox,7706712.0,"Crime,Thriller",3
517,tt1853739,26895481.0,,R,Lionsgate,7020196.0,"Horror,Thriller",3
518,tt1649419,198087212.0,,PG-13,Lionsgate,143818.0,"Drama,History,Thriller",3
519,tt1441951,59520298.0,,PG-13,The Weinstein Company,47122.0,"Comedy,Drama,Music,Romance",3
520,tt0816442,76586316.0,,PG-13,Twentieth Century Fox,105005.0,"Drama,War",3
521,tt1814621,18637201.0,13000000.0,PG-13,Focus Features,6154984.0,"Comedy,Drama,Romance",3
522,tt1904996,46922566.0,35000000.0,R,FilmDistrict,7008222.0,"Action,Crime,Thriller",3
523,tt2390361,25288872.0,,PG-13,Fox Searchlight Pictures,232800.0,"Comedy,Drama,Romance",3
524,tt2387433,27858103.0,3500000.0,PG-13,Dimension Films,8189166.0,"Horror,Sci-Fi,Thriller",3
525,tt2431286,100129872.0,12000000.0,PG-13,The Weinstein Company,128435.0,"Biography,Comedy,Drama",3
526,tt2193215,71009334.0,25000000.0,R,Twentieth Century Fox,7842930.0,"Crime,Drama,Thriller",3
527,tt1661382,44907260.0,40000000.0,PG-13,Warner Bros.,7021993.0,"Comedy,Drama,Sport",3
528,tt2357129,42128352.0,12000000.0,PG-13,Open Road Films (II),6713900.0,"Biography,Drama",3
529,tt2334649,17385830.0,,R,The Weinstein Company,386291.0,"Biography,Crime,Drama,Romance",3
530,tt0790636,55736588.0,5000000.0,R,Focus Features,260865.0,"Biography,Drama",3
531,tt2194499,87100449.0,,R,Universal Pictures,1076250.0,"Comedy,Drama,Fantasy,Romance,Sci-Fi",3
532,tt2034139,25051865.0,5000000.0,PG-13,CBS Films,7728354.0,"Horror,Thriller",3
533,tt1694020,41863726.0,40000000.0,PG-13,Paramount Pictures,5290629.0,"Comedy,Drama",3
534,tt2101441,32170399.0,5000000.0,R,A24,263002.0,"Crime,Drama",3
535,tt0198781,579707738.0,115000000.0,G,Walt Disney Studios Motion Pictures,62577067.0,"Adventure,Animation,Comedy,Family,Fantasy",3
536,tt1074638,1108569499.0,200000000.0,PG-13,Sony Pictures Entertainment (SPE),88364714.0,"Action,Adventure,Thriller",3
537,tt1772341,471222889.0,165000000.0,PG,Walt Disney Studios Motion Pictures,49038712.0,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",3
538,tt1446192,306941670.0,145000000.0,PG,DreamWorks,23773465.0,"Action,Adventure,Animation,Comedy,Drama,Family,Fantasy",3
539,tt1549920,48330757.0,45000000.0,R,Lionsgate,6281433.0,"Action,Thriller",3
540,tt1206543,15661554.0,22000000.0,R,Relativity Media,5220288.0,"Action,Crime,Drama,Thriller",3
541,tt2101341,18074539.0,,R,FilmDistrict,5345250.0,"Action,Crime,Drama,Thriller",3
542,tt2167202,11806432.0,18000000.0,PG-13,Warner Bros.,4503892.0,"Action,Crime,Horror,Mystery,Thriller",3
543,tt1308729,21947209.0,,R,Warner Bros.,4548201.0,"Action,Crime,Thriller",3
544,tt1699755,9307166.0,15000000.0,PG-13,Lionsgate,4611534.0,"Comedy,Romance",3
545,tt1532958,16549477.0,20000000.0,PG-13,Screen Gems,4603177.0,"Drama,Music",3
546,tt1333125,32443111.0,6000000.0,R,Relativity Media,4805878.0,Comedy,3
547,tt2209418,20994648.0,,R,Sony Pictures Classics,246914.0,"Drama,Romance",3
548,tt2002718,17537186.0,,R,Open Road Films (II),3837183.0,"Action,Crime,Thriller",3
549,tt1413495,17056265.0,35000000.0,PG-13,Relativity Media,3528376.0,"Drama,Thriller",3
550,tt2091473,11039031.0,,R,Focus Features,173915.0,Drama,3
551,tt1833673,88031955.0,,,Yash Raj Films,3423508.0,"Action,Crime,Thriller",3
552,tt1425922,7454185.0,17500000.0,PG,Fox Searchlight Pictures,3669530.0,"Drama,Family,Music,Musical",3
553,tt1714206,6918591.0,,R,A24,197415.0,"Comedy,Drama,Romance",3
554,tt1462900,73933934.0,,PG-13,The Weinstein Company,132617.0,"Action,Biography,Drama,Romance,War",3
555,tt1602620,29664140.0,8900000.0,PG-13,Sony Pictures Classics,68266.0,Drama,3
556,tt1433813,74996938.0,,,Warner Bros.,413477.0,Documentary,3
557,tt1821549,27682872.0,12000000.0,R,Paramount Pictures,140401.0,"Adventure,Comedy,Drama",3
558,tt2017038,13627519.0,,PG-13,Roadside Attractions,93583.0,"Action,Adventure,Drama",3
559,tt1673434,829747654.0,120000000.0,PG-13,Lionsgate,141067634.0,"Adventure,Drama,Fantasy,Romance",3
560,tt2132285,20045576.0,,R,A24,214395.0,"Biography,Crime,Drama",3
561,tt3203890,13725819.0,,PG,Lionsgate,2467168.0,"Comedy,Romance",3
562,tt2218003,6331939.0,,R,Focus Features,2464931.0,"Crime,Drama,Mystery,Thriller",3
563,tt0032138,25407411.0,2777000.0,PG,Metro-Goldwyn-Mayer (MGM),,"Adventure,Family,Fantasy,Musical",3
564,tt2112124,10234653.0,,,UTV Motion Pictures,2220497.0,"Action,Adventure,Comedy,Romance",3
565,tt2304771,27985788.0,,PG-13,The Weinstein Company,84283.0,"Biography,Drama,History",3
566,tt2042568,32960249.0,,R,CBS Films,405411.0,"Comedy,Drama,Music",3
567,tt1381404,20014680.0,,R,Sony Pictures Classics,131718.0,"Drama,Thriller",3
568,tt3165608,10980157.0,5000000.0,PG,Open Road Films (II),2007567.0,"Documentary,Music",3
569,tt2396566,5839368.0,,PG-13,RADiUS-TWC,54596.0,"Biography,Documentary,History,Music",3
570,tt1477855,10980481.0,,R,Focus Features,81362.0,"Biography,Comedy,Drama,History",3
571,tt1792647,34153101.0,,PG,Paramount Pictures,2162993.0,Fantasy,3
572,tt2094064,5341221.0,,PG-13,Roadside Attractions,171942.0,"Comedy,Drama,Romance",3
573,tt2347569,9058065.0,,R,IFC Films,137398.0,"Comedy,Drama,Romance",3
574,tt2178470,30991781.0,,,Eros Worldwide,1568677.0,"Drama,Musical,Romance",3
575,tt1758795,3909596.0,1500000.0,R,CBS Films,1579402.0,"Comedy,Romance",3
576,tt2172935,7975812.0,18000000.0,R,Picturehouse (II),1576561.0,Music,3
577,tt2103264,14858240.0,,PG-13,Roadside Attractions,1014099.0,"Drama,History,War",3
578,tt1389096,5072654.0,,R,Lionsgate,1486390.0,"Comedy,Crime,Thriller",3
579,tt1837703,9058564.0,28000000.0,R,Walt Disney Studios Motion Pictures,1673351.0,"Biography,Crime,Drama,Thriller",3
580,tt1854236,16722143.0,,R,Sony Pictures Classics,36746.0,"Comedy,Drama,Romance",3
581,tt0092099,357288178.0,,,Paramount Pictures,8193052.0,"Action,Drama",3
582,tt2294677,3114953.0,,R,Roadside Attractions,70541.0,Comedy,3
583,tt2073128,23695388.0,,G,Warner Bros.,270228.0,"Documentary,Short",3
584,tt2051894,2861020.0,,PG-13,The Samuel Goldwyn Company,1623000.0,"Drama,Sport",3
585,tt1869425,2940411.0,2000000.0,R,Lionsgate,1478323.0,"Drama,Music",3
586,tt0837562,358375603.0,85000000.0,PG,Sony Pictures Entertainment (SPE),42522194.0,"Adventure,Animation,Comedy,Family,Fantasy,Horror",3
587,tt2215477,4840059.0,,,Eros Worldwide,1449174.0,"Drama,Musical,Romance",3
588,tt0290296,128363881.0,,,IMAX,489488.0,Documentary,3
589,tt2349460,2507201.0,,PG,Roadside Attractions,998145.0,"Drama,Music",3
590,tt1673697,20423628.0,,PG-13,The Weinstein Company,38372.0,"Biography,Comedy,Drama,Music,Romance",3
591,tt2309788,2573616.0,,PG-13,Sony Pictures Classics,61552.0,"Documentary,History,War",3
592,tt1618432,2503392.0,,PG,High Top Releasing,971826.0,"Crime,Drama,Romance",3
