Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres
tt1850457,105011053.0,30000000.0,R,Universal Pictures,13922855.0,Comedy
tt1029360,95437994.0,35000000.0,PG-13,Twentieth Century Fox,22620386.0,"Horror,Thriller"
tt1617661,183887723.0,176000000.0,PG-13,Warner Bros.,18372372.0,"Action,Adventure,Sci-Fi"
tt3397884,84997446.0,30000000.0,R,Lionsgate,401288.0,"Action,Crime,Drama,Mystery,Thriller"
tt1638355,107045109.0,75000000.0,PG-13,Warner Bros.,13421036.0,"Action,Adventure,Comedy"
tt2097298,45710059.0,,PG,Walt Disney Studios Motion Pictures,11020798.0,"Biography,Drama,Sport"
tt2692250,363204635.0,127000000.0,PG,Twentieth Century Fox,17100520.0,"Adventure,Comedy,Family,Fantasy"
tt4178092,58980521.0,5000000.0,R,STX Entertainment,11854273.0,"Drama,Mystery,Thriller"
tt2719848,203427584.0,55000000.0,PG-13,Universal Pictures,7222035.0,"Action,Adventure,Biography,Drama,Thriller"
tt3530002,52395996.0,25000000.0,R,Sony Pictures Entertainment (SPE),9880536.0,"Comedy,Fantasy"
tt3369806,43967255.0,20000000.0,PG,Warner Bros.,12155254.0,"Adventure,Drama,Family,War"
tt1655441,65663276.0,,PG-13,Lionsgate,13203458.0,"Drama,Fantasy,Romance"
tt3850590,61548707.0,15000000.0,PG-13,Universal Pictures,16293325.0,"Comedy,Drama,Fantasy,Horror"
tt2726560,62944815.0,34000000.0,PG-13,Twentieth Century Fox,13019686.0,"Drama,Romance,Western"
tt3181822,52425855.0,4000000.0,R,Universal Pictures,14910105.0,Thriller
tt3332064,128388320.0,150000000.0,PG,Warner Bros.,15315435.0,"Adventure,Comedy,Family,Fantasy"
tt2967224,51380201.0,35000000.0,PG-13,Warner Bros.,13942258.0,"Action,Comedy,Crime"
tt1666801,43709744.0,8500000.0,PG-13,Lionsgate,10809149.0,"Comedy,Romance"
tt2404425,61619773.0,11000000.0,PG-13,The Weinstein Company,2091551.0,"Biography,Drama,History"
tt2555736,85978292.0,10000000.0,PG,Fox Searchlight Pictures,8540370.0,"Comedy,Drama,Romance"
tt3713166,62882090.0,1000000.0,R,Universal Pictures,15845115.0,"Horror,Mystery,Thriller"
